algorithm,block,arm,freq
SW-TS,3500,3,0.19006666666666666
SW-TS,3500,4,0.5198666666666667
SW-TS,4000,0,0.05386666666666666
SW-TS,4000,1,0.08453333333333334
SW-TS,4000,2,0.13106666666666666
SW-TS,4000,3,0.18886666666666668
SW-TS,4000,4,0.5416666666666666
SW-TS,4500,0,0.06739999999999999
SW-TS,4500,1,0.10253333333333334
SW-TS,4500,2,0.13273333333333334
SW-TS,4500,3,0.18080000000000002
SW-TS,4500,4,0.5165333333333334
SW-TS,5000,0,0.27840000000000004
SW-TS,5000,1,0.25473333333333337
SW-TS,5000,2,0.154
SW-TS,5000,3,0.14153333333333332
SW-TS,5000,4,0.1713333333333333
SW-TS,5500,0,0.4873333333333333
SW-TS,5500,1,0.23166666666666666
SW-TS,5500,2,0.129
SW-TS,5500,3,0.09833333333333334
SW-TS,5500,4,0.05366666666666667
SW-TS,6000,0,0.5139333333333334
SW-TS,6000,1,0.1768
SW-TS,6000,2,0.1356
SW-TS,6000,3,0.10273333333333333
SW-TS,6000,4,0.07093333333333333
SW-TS,6500,0,0.4921333333333333
SW-TS,6500,1,0.18526666666666666
SW-TS,6500,2,0.15873333333333334
SW-TS,6500,3,0.09953333333333333
SW-TS,6500,4,0.06433333333333333
SW-TS,7000,0,0.42719999999999997
SW-TS,7000,1,0.2717333333333333
SW-TS,7000,2,0.14506666666666668
SW-TS,7000,3,0.09333333333333332
SW-TS,7000,4,0.06266666666666666
SW-TS,7500,0,0.4216666666666667
SW-TS,7500,1,0.24666666666666667
SW-TS,7500,2,0.16299999999999998
SW-TS,7500,3,0.10166666666666666
SW-TS,7500,4,0.06699999999999999
SW-TS,8000,0,0.5302666666666667
SW-TS,8000,1,0.19226666666666667
SW-TS,8000,2,0.1316
SW-TS,8000,3,0.08333333333333333
SW-TS,8000,4,0.06253333333333334
SW-TS,8500,0,0.5328
SW-TS,8500,1,0.19746666666666668
SW-TS,8500,2,0.13446666666666665
SW-TS,8500,3,0.07806666666666667
SW-TS,8500,4,0.0572
SW-TS,9000,0,0.4526
SW-TS,9000,1,0.2406
SW-TS,9000,2,0.15373333333333333
SW-TS,9000,3,0.0878
SW-TS,9000,4,0.06526666666666667
SW-TS,9500,0,0.4668
SW-TS,9500,1,0.2058
SW-TS,9500,2,0.14426666666666668
SW-TS,9500,3,0.11033333333333334
SW-TS,9500,4,0.0728
SW-UCB,0,0,0.14886666666666667
SW-UCB,0,1,0.17539999999999997
SW-UCB,0,2,0.19673333333333334
SW-UCB,0,3,0.21566666666666665
SW-UCB,0,4,0.26333333333333336
SW-UCB,500,0,0.14633333333333332
SW-UCB,500,1,0.17266666666666666
SW-UCB,500,2,0.19573333333333334
SW-UCB,500,3,0.2248666666666667
SW-UCB,500,4,0.2604
SW-UCB,1000,0,0.1512666666666667
SW-UCB,1000,1,0.17226666666666668
SW-UCB,1000,2,0.18673333333333333
SW-UCB,1000,3,0.2236
SW-UCB,1000,4,0.26613333333333333
SW-UCB,1500,0,0.14813333333333334
SW-UCB,1500,1,0.17686666666666667
SW-UCB,1500,2,0.19346666666666668
SW-UCB,1500,3,0.21680000000000002
SW-UCB,1500,4,0.2647333333333333
SW-UCB,2000,0,0.15133333333333335
SW-UCB,2000,1,0.17146666666666668
SW-UCB,2000,2,0.19693333333333335
SW-UCB,2000,3,0.21946666666666667
SW-UCB,2000,4,0.2608
SW-UCB,2500,0,0.14846666666666666
SW-UCB,2500,1,0.1732
SW-UCB,2500,2,0.18753333333333336
SW-UCB,2500,3,0.22113333333333335
SW-UCB,2500,4,0.26966666666666667
SW-UCB,3000,0,0.14846666666666666
SW-UCB,3000,1,0.1806
SW-UCB,3000,2,0.18753333333333336
SW-UCB,3000,3,0.21459999999999999
SW-UCB,3000,4,0.2688
SW-UCB,3500,0,0.156
SW-UCB,3500,1,0.16513333333333333
SW-UCB,3500,2,0.1966
SW-UCB,3500,3,0.21286666666666668
SW-UCB,3500,4,0.26940000000000003
SW-UCB,4000,0,0.14726666666666668
SW-UCB,4000,1,0.17926666666666666
SW-UCB,4000,2,0.19273333333333334
SW-UCB,4000,3,0.21133333333333332
SW-UCB,4000,4,0.26940000000000003
SW-UCB,4500,0,0.15186666666666668
SW-UCB,4500,1,0.1704
SW-UCB,4500,2,0.19486666666666666
SW-UCB,4500,3,0.22213333333333332
SW-UCB,4500,4,0.2607333333333333
SW-UCB,5000,0,0.2638
SW-UCB,5000,1,0.21746666666666667
SW-UCB,5000,2,0.18739999999999998
SW-UCB,5000,3,0.17406666666666665
SW-UCB,5000,4,0.15726666666666667
SW-UCB,5500,0,0.28
SW-UCB,5500,1,0.21353333333333332
SW-UCB,5500,2,0.18946666666666667
SW-UCB,5500,3,0.169
SW-UCB,5500,4,0.14800000000000002
SW-UCB,6000,0,0.26333333333333336
SW-UCB,6000,1,0.22573333333333334
SW-UCB,6000,2,0.19406666666666667
SW-UCB,6000,3,0.1753333333333333
SW-UCB,6000,4,0.14153333333333334
SW-UCB,6500,0,0.26166666666666666
SW-UCB,6500,1,0.21066666666666667
SW-UCB,6500,2,0.20713333333333334
SW-UCB,6500,3,0.17453333333333332
SW-UCB,6500,4,0.146
SW-UCB,7000,0,0.24686666666666665
SW-UCB,7000,1,0.21733333333333332
SW-UCB,7000,2,0.20493333333333333
SW-UCB,7000,3,0.17666666666666667
SW-UCB,7000,4,0.1542
SW-UCB,7500,0,0.25379999999999997
SW-UCB,7500,1,0.21046666666666666
SW-UCB,7500,2,0.19853333333333334
SW-UCB,7500,3,0.1804
SW-UCB,7500,4,0.1568
SW-UCB,8000,0,0.26826666666666665
SW-UCB,8000,1,0.20986666666666667
SW-UCB,8000,2,0.1966
SW-UCB,8000,3,0.17826666666666666
SW-UCB,8000,4,0.147
SW-UCB,8500,0,0.27080000000000004
SW-UCB,8500,1,0.2122666666666667
SW-UCB,8500,2,0.19286666666666666
SW-UCB,8500,3,0.17126666666666665
SW-UCB,8500,4,0.1528
SW-UCB,9000,0,0.2634
SW-UCB,9000,1,0.21846666666666667
SW-UCB,9000,2,0.18860000000000002
SW-UCB,9000,3,0.17973333333333336
SW-UCB,9000,4,0.1498
SW-UCB,9500,0,0.24639999999999998
SW-UCB,9500,1,0.22086666666666668
SW-UCB,9500,2,0.1978
SW-UCB,9500,3,0.18626666666666666
SW-UCB,9500,4,0.14866666666666667
Thompson Sampling,0,0,0.0754
